"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","Create user","LMS service","Mon May 11 14:06:06 UTC 2026","passed","Mon May 11 14:06:06 UTC 2026","Create entity","Users","",""
"","19","Delete file","LMS service","Mon May 11 14:06:06 UTC 2026","passed","Mon May 11 14:06:06 UTC 2026","Delete entity","Files","",""
"","15","Get exercise","LMS service","Mon May 11 14:06:01 UTC 2026","passed","Mon May 11 14:06:01 UTC 2026","Get entity","Exercises","",""
"","277","Create exercise","LMS service","Mon May 11 14:05:59 UTC 2026","passed","Mon May 11 14:05:59 UTC 2026","Create entity","Exercises","",""
"","259","Get courses","LMS service","Mon May 11 14:05:57 UTC 2026","passed","Mon May 11 14:05:57 UTC 2026","Get entities","Courses","",""
"","683","Create user","LMS service","Mon May 11 14:06:06 UTC 2026","passed","Mon May 11 14:06:07 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Mon May 11 14:06:08 UTC 2026","passed","Mon May 11 14:06:08 UTC 2026","Get entity","Users","",""
"","124","Create file","LMS service","Mon May 11 14:06:02 UTC 2026","passed","Mon May 11 14:06:02 UTC 2026","Create entity","Files","",""
"","282","Delete exercise","LMS service","Mon May 11 14:06:01 UTC 2026","passed","Mon May 11 14:06:01 UTC 2026","Delete entity","Exercises","",""
"","15","Update exercise","LMS service","Mon May 11 14:05:59 UTC 2026","passed","Mon May 11 14:05:59 UTC 2026","Update entity","Exercises","",""
"","228","Create file with empty filename","LMS service","Mon May 11 14:06:03 UTC 2026","passed","Mon May 11 14:06:03 UTC 2026","Validate entity","Files","",""
"","16","Create file with empty directory","LMS service","Mon May 11 14:06:05 UTC 2026","passed","Mon May 11 14:06:05 UTC 2026","Validate entity","Files","",""
"","841","Create user","LMS service","Mon May 11 14:06:06 UTC 2026","passed","Mon May 11 14:06:07 UTC 2026","Create entity","Users","",""
"","488","Get file with incorrect file id","LMS service","Mon May 11 14:06:06 UTC 2026","passed","Mon May 11 14:06:06 UTC 2026","Validate entity","Files","",""
"","1574","Get file","LMS service","Mon May 11 14:06:03 UTC 2026","passed","Mon May 11 14:06:05 UTC 2026","Get entity","Files","",""
"","30","Create course","LMS service","Mon May 11 14:05:58 UTC 2026","passed","Mon May 11 14:05:58 UTC 2026","Create entity","Courses","",""
"","378","Get exercises","LMS service","Mon May 11 14:06:02 UTC 2026","passed","Mon May 11 14:06:02 UTC 2026","Get entities","Exercises","",""
"","275","Update course","LMS service","Mon May 11 14:05:57 UTC 2026","passed","Mon May 11 14:05:58 UTC 2026","Update entity","Courses","",""
"","249","Login with correct email and password","LMS service","Mon May 11 14:05:56 UTC 2026","passed","Mon May 11 14:05:57 UTC 2026","Login","Authentication","",""
